"R","little_power","little_power_cov","our_power","combined_power","our_power_corr","alpha"
3.74750357012843e-09,0.036,0.894,0.034,0.038,0.022,0.05
3.95394181551545e-09,0.048,0.884,0.028,0.03,0.014,0.05
0.000511327622696813,0.036,0.908,0.03,0.03,0.006,0.05
0.000329139866034687,0.046,0.898,0.034,0.038,0.006,0.05
0.00152604791096691,0.066,0.884,0.042,0.05,0.006,0.05
0.00621044160545956,0.06,0.902,0.03,0.054,0.004,0.05
0.0176791420416906,0.038,0.902,0.038,0.044,0.028,0.05
0.0600661507565475,0.068,0.918,0.072,0.084,0.084,0.05
0.11543168302148,0.048,0.956,0.204,0.21,0.32,0.05
0.195185428727773,0.066,0.988,0.474,0.478,0.648,0.05
0.269658287414636,0.088,1,0.826,0.828,0.904,0.05
0.348018897389454,0.054,1,0.97,0.97,0.986,0.05
